beneficiary_id,program,reporting_period,sessions_expected,sessions_attended,attendance_rate
BEN-000202,Scholarship,Q3 2026,20,7,35.0
BEN-000205,Scholarship,Q1 2025,23,20,87.0
BEN-000205,Scholarship,Q2 2025,27,20,74.1
BEN-000205,Scholarship,Q3 2025,18,15,83.3
BEN-000205,Scholarship,Q4 2025,20,14,70.0
BEN-000205,Scholarship,Q1 2026,27,24,88.9
BEN-000216,Scholarship,Q2 2025,22,19,86.4
BEN-000216,Scholarship,Q3 2025,20,15,75.0
BEN-000216,Scholarship,Q4 2025,18,15,83.3
BEN-000217,Scholarship,Q3 2026,28,14,50.0
BEN-000219,Scholarship,Q2 2026,25,19,76.0
BEN-000219,Scholarship,Q3 2026,23,8,34.8
BEN-000220,Scholarship,Q2 2026,22,12,54.5
BEN-000220,Scholarship,Q3 2026,21,9,42.9
BEN-000223,Scholarship,Q2 2026,28,14,50.0
BEN-000223,Scholarship,Q3 2026,23,11,47.8
BEN-000224,Scholarship,Q4 2025,18,12,66.7
BEN-000224,Scholarship,Q1 2026,21,17,81.0
BEN-000224,Scholarship,Q2 2026,19,17,89.5
BEN-000224,Scholarship,Q3 2026,21,12,57.1
BEN-000237,Scholarship,Q2 2026,19,12,63.2
BEN-000237,Scholarship,Q3 2026,28,15,53.6
BEN-000246,Scholarship,Q3 2025,26,25,96.2
BEN-000246,Scholarship,Q4 2025,18,15,83.3
BEN-000246,Scholarship,Q1 2026,21,17,81.0
BEN-000246,Scholarship,Q2 2026,18,16,88.9
BEN-000246,Scholarship,Q3 2026,25,22,88.0
BEN-000253,Scholarship,Q2 2026,21,13,61.9
BEN-000253,Scholarship,Q3 2026,21,6,28.6
BEN-000254,Scholarship,Q1 2026,22,16,72.7
BEN-000254,Scholarship,Q2 2026,21,17,81.0
BEN-000254,Scholarship,Q3 2026,26,23,88.5
BEN-000257,Scholarship,Q4 2025,28,15,53.6
BEN-000257,Scholarship,Q1 2026,20,16,80.0
BEN-000257,Scholarship,Q2 2026,27,19,70.4
BEN-000257,Scholarship,Q3 2026,25,8,32.0
BEN-000258,Scholarship,Q2 2025,20,15,75.0
BEN-000258,Scholarship,Q3 2025,21,16,76.2
BEN-000258,Scholarship,Q4 2025,21,21,100.0
BEN-000259,Scholarship,Q3 2025,21,17,81.0
BEN-000259,Scholarship,Q4 2025,23,18,78.3
BEN-000259,Scholarship,Q1 2026,21,21,100.0
BEN-000267,Scholarship,Q1 2026,27,22,81.5
BEN-000267,Scholarship,Q2 2026,23,18,78.3
BEN-000267,Scholarship,Q3 2026,24,18,75.0
BEN-000275,Scholarship,Q3 2026,21,11,52.4
BEN-000279,Scholarship,Q1 2026,18,15,83.3
BEN-000279,Scholarship,Q2 2026,27,20,74.1
BEN-000279,Scholarship,Q3 2026,28,15,53.6
BEN-000281,Scholarship,Q3 2026,23,10,43.5
BEN-000284,Scholarship,Q1 2026,23,12,52.2
BEN-000284,Scholarship,Q2 2026,28,19,67.9
BEN-000284,Scholarship,Q3 2026,26,12,46.2
BEN-000285,Scholarship,Q1 2025,22,16,72.7
BEN-000285,Scholarship,Q2 2025,25,18,72.0
BEN-000285,Scholarship,Q3 2025,24,18,75.0
BEN-000285,Scholarship,Q4 2025,22,15,68.2
BEN-000285,Scholarship,Q1 2026,22,12,54.5
BEN-000289,Scholarship,Q3 2025,28,25,89.3
BEN-000289,Scholarship,Q4 2025,24,23,95.8
BEN-000289,Scholarship,Q1 2026,20,16,80.0
BEN-000289,Scholarship,Q2 2026,25,22,88.0
BEN-000291,Scholarship,Q2 2026,22,17,77.3
BEN-000291,Scholarship,Q3 2026,20,10,50.0
BEN-000292,Scholarship,Q2 2025,22,12,54.5
BEN-000292,Scholarship,Q3 2025,19,14,73.7
BEN-000292,Scholarship,Q4 2025,18,9,50.0
BEN-000292,Scholarship,Q1 2026,27,14,51.9
BEN-000295,Scholarship,Q1 2025,20,19,95.0
BEN-000295,Scholarship,Q2 2025,20,15,75.0
BEN-000295,Scholarship,Q3 2025,24,20,83.3
BEN-000295,Scholarship,Q4 2025,22,19,86.4
BEN-000299,Scholarship,Q3 2026,24,13,54.2
BEN-000300,Scholarship,Q3 2025,25,22,88.0
BEN-000300,Scholarship,Q4 2025,28,19,67.9
BEN-000300,Scholarship,Q1 2026,26,10,38.5
BEN-000307,Scholarship,Q3 2026,22,8,36.4
BEN-000311,Scholarship,Q1 2026,19,15,78.9
BEN-000311,Scholarship,Q2 2026,28,20,71.4
BEN-000311,Scholarship,Q3 2026,20,12,60.0
BEN-000314,Scholarship,Q2 2025,23,21,91.3
BEN-000314,Scholarship,Q3 2025,21,16,76.2
BEN-000314,Scholarship,Q4 2025,22,13,59.1
BEN-000314,Scholarship,Q1 2026,25,10,40.0
BEN-000315,Scholarship,Q3 2026,19,6,31.6
BEN-000317,Scholarship,Q3 2025,25,18,72.0
BEN-000317,Scholarship,Q4 2025,21,16,76.2
BEN-000317,Scholarship,Q1 2026,28,21,75.0
BEN-000318,Scholarship,Q3 2025,21,16,76.2
BEN-000318,Scholarship,Q4 2025,24,18,75.0
BEN-000318,Scholarship,Q1 2026,23,17,73.9
BEN-000318,Scholarship,Q2 2026,24,18,75.0
BEN-000322,Scholarship,Q4 2025,23,18,78.3
BEN-000322,Scholarship,Q1 2026,19,13,68.4
BEN-000322,Scholarship,Q2 2026,24,10,41.7
BEN-000329,Scholarship,Q4 2025,22,21,95.5
BEN-000329,Scholarship,Q1 2026,18,17,94.4
BEN-000329,Scholarship,Q2 2026,22,16,72.7
BEN-000329,Scholarship,Q3 2026,19,15,78.9
BEN-000334,Scholarship,Q4 2025,28,27,96.4
BEN-000334,Scholarship,Q1 2026,24,17,70.8
BEN-000334,Scholarship,Q2 2026,26,20,76.9
BEN-000334,Scholarship,Q3 2026,28,25,89.3
BEN-000336,Scholarship,Q1 2026,28,23,82.1
BEN-000336,Scholarship,Q2 2026,23,12,52.2
BEN-000336,Scholarship,Q3 2026,27,16,59.3
BEN-000340,Scholarship,Q3 2026,19,9,47.4
BEN-000341,Scholarship,Q3 2025,23,20,87.0
BEN-000341,Scholarship,Q4 2025,24,12,50.0
BEN-000341,Scholarship,Q1 2026,19,10,52.6
BEN-000341,Scholarship,Q2 2026,27,14,51.9
BEN-000343,Scholarship,Q1 2026,23,19,82.6
BEN-000343,Scholarship,Q2 2026,25,18,72.0
BEN-000343,Scholarship,Q3 2026,23,20,87.0
BEN-000345,Scholarship,Q1 2026,27,14,51.9
BEN-000345,Scholarship,Q2 2026,28,18,64.3
BEN-000345,Scholarship,Q3 2026,21,9,42.9
BEN-000352,Scholarship,Q2 2026,21,21,100.0
BEN-000352,Scholarship,Q3 2026,21,9,42.9
BEN-000354,Scholarship,Q2 2026,25,21,84.0
BEN-000354,Scholarship,Q3 2026,23,14,60.9
BEN-000356,Scholarship,Q3 2026,26,14,53.8
BEN-000358,Scholarship,Q4 2025,20,17,85.0
BEN-000358,Scholarship,Q1 2026,27,21,77.8
BEN-000358,Scholarship,Q2 2026,24,20,83.3
BEN-000358,Scholarship,Q3 2026,22,19,86.4
BEN-000360,Scholarship,Q1 2026,25,22,88.0
BEN-000360,Scholarship,Q2 2026,27,21,77.8
BEN-000360,Scholarship,Q3 2026,19,14,73.7
BEN-000362,Scholarship,Q4 2025,27,24,88.9
BEN-000362,Scholarship,Q1 2026,22,17,77.3
BEN-000362,Scholarship,Q2 2026,21,16,76.2
BEN-000362,Scholarship,Q3 2026,24,23,95.8
BEN-000363,Scholarship,Q4 2025,21,14,66.7
BEN-000363,Scholarship,Q1 2026,21,17,81.0
BEN-000363,Scholarship,Q2 2026,21,11,52.4
BEN-000363,Scholarship,Q3 2026,18,8,44.4
BEN-000364,Scholarship,Q2 2026,26,20,76.9
BEN-000364,Scholarship,Q3 2026,26,8,30.8
BEN-000367,Scholarship,Q1 2026,26,19,73.1
BEN-000367,Scholarship,Q2 2026,27,22,81.5
BEN-000367,Scholarship,Q3 2026,27,27,100.0
BEN-000369,Scholarship,Q3 2026,23,8,34.8
BEN-000370,Scholarship,Q2 2026,25,18,72.0
BEN-000370,Scholarship,Q3 2026,28,14,50.0
BEN-000376,Scholarship,Q2 2026,23,12,52.2
BEN-000376,Scholarship,Q3 2026,26,15,57.7
BEN-000377,Scholarship,Q1 2026,24,16,66.7
BEN-000377,Scholarship,Q2 2026,26,26,100.0
BEN-000377,Scholarship,Q3 2026,27,13,48.1
BEN-000379,Scholarship,Q3 2026,25,13,52.0
BEN-000382,Scholarship,Q3 2025,21,21,100.0
BEN-000382,Scholarship,Q4 2025,23,19,82.6
BEN-000382,Scholarship,Q1 2026,19,16,84.2
BEN-000382,Scholarship,Q2 2026,25,19,76.0
BEN-000382,Scholarship,Q3 2026,24,23,95.8
BEN-000384,Scholarship,Q3 2026,19,8,42.1
BEN-000389,Scholarship,Q4 2025,19,10,52.6
BEN-000389,Scholarship,Q1 2026,20,14,70.0
BEN-000389,Scholarship,Q2 2026,22,8,36.4
BEN-000395,Scholarship,Q2 2026,19,19,100.0
BEN-000395,Scholarship,Q3 2026,28,15,53.6
BEN-000401,Scholarship,Q1 2026,26,25,96.2
BEN-000401,Scholarship,Q2 2026,20,19,95.0
BEN-000401,Scholarship,Q3 2026,23,19,82.6
BEN-000402,Scholarship,Q2 2026,18,17,94.4
BEN-000402,Scholarship,Q3 2026,23,8,34.8
BEN-000410,Scholarship,Q2 2026,20,19,95.0
BEN-000410,Scholarship,Q3 2026,26,12,46.2
BEN-000417,Scholarship,Q1 2026,19,15,78.9
BEN-000417,Scholarship,Q2 2026,28,21,75.0
BEN-000417,Scholarship,Q3 2026,24,23,95.8
BEN-000419,Scholarship,Q1 2026,27,25,92.6
BEN-000419,Scholarship,Q2 2026,19,15,78.9
BEN-000419,Scholarship,Q3 2026,20,20,100.0
BEN-000428,Scholarship,Q3 2025,19,16,84.2
BEN-000428,Scholarship,Q4 2025,23,20,87.0
BEN-000428,Scholarship,Q1 2026,24,20,83.3
BEN-000429,Scholarship,Q2 2026,20,19,95.0
BEN-000429,Scholarship,Q3 2026,18,10,55.6
BEN-000430,Scholarship,Q3 2025,27,21,77.8
BEN-000430,Scholarship,Q4 2025,25,19,76.0
BEN-000430,Scholarship,Q1 2026,18,13,72.2
BEN-000436,Scholarship,Q3 2026,21,10,47.6
BEN-000438,Scholarship,Q4 2025,21,15,71.4
BEN-000438,Scholarship,Q1 2026,27,27,100.0
BEN-000438,Scholarship,Q2 2026,25,20,80.0
BEN-000441,Scholarship,Q2 2025,18,16,88.9
BEN-000441,Scholarship,Q3 2025,23,15,65.2
BEN-000441,Scholarship,Q4 2025,18,6,33.3
BEN-000442,Scholarship,Q1 2025,22,18,81.8
BEN-000442,Scholarship,Q2 2025,19,11,57.9
BEN-000442,Scholarship,Q3 2025,28,22,78.6
BEN-000442,Scholarship,Q4 2025,26,22,84.6
BEN-000442,Scholarship,Q1 2026,18,6,33.3
BEN-000444,Scholarship,Q2 2026,24,18,75.0
BEN-000444,Scholarship,Q3 2026,22,11,50.0
BEN-000445,Scholarship,Q3 2026,24,10,41.7
BEN-000448,Scholarship,Q3 2025,27,15,55.6
BEN-000448,Scholarship,Q4 2025,23,21,91.3
BEN-000448,Scholarship,Q1 2026,23,20,87.0
BEN-000448,Scholarship,Q2 2026,20,12,60.0
BEN-000448,Scholarship,Q3 2026,20,8,40.0
BEN-000450,Scholarship,Q1 2026,28,21,75.0
BEN-000450,Scholarship,Q2 2026,19,10,52.6
BEN-000450,Scholarship,Q3 2026,19,8,42.1
BEN-000451,Scholarship,Q4 2025,25,19,76.0
BEN-000451,Scholarship,Q1 2026,19,16,84.2
BEN-000451,Scholarship,Q2 2026,25,24,96.0
BEN-000451,Scholarship,Q3 2026,25,22,88.0
BEN-000454,Scholarship,Q4 2025,27,19,70.4
BEN-000454,Scholarship,Q1 2026,19,19,100.0
BEN-000454,Scholarship,Q2 2026,22,22,100.0
BEN-000454,Scholarship,Q3 2026,27,11,40.7
BEN-000456,Scholarship,Q3 2025,22,17,77.3
BEN-000456,Scholarship,Q4 2025,27,25,92.6
BEN-000456,Scholarship,Q1 2026,25,23,92.0
BEN-000456,Scholarship,Q2 2026,25,24,96.0
BEN-000464,Scholarship,Q3 2025,24,22,91.7
BEN-000464,Scholarship,Q4 2025,27,22,81.5
BEN-000464,Scholarship,Q1 2026,22,16,72.7
BEN-000467,Scholarship,Q1 2026,22,20,90.9
BEN-000467,Scholarship,Q2 2026,26,18,69.2
BEN-000467,Scholarship,Q3 2026,25,20,80.0
BEN-000469,Scholarship,Q3 2026,25,12,48.0
BEN-000472,Scholarship,Q3 2025,23,17,73.9
BEN-000472,Scholarship,Q4 2025,28,21,75.0
BEN-000472,Scholarship,Q1 2026,25,24,96.0
BEN-000472,Scholarship,Q2 2026,24,17,70.8
BEN-000472,Scholarship,Q3 2026,22,16,72.7
BEN-000475,Scholarship,Q3 2025,28,26,92.9
BEN-000475,Scholarship,Q4 2025,19,18,94.7
BEN-000475,Scholarship,Q1 2026,22,19,86.4
BEN-000475,Scholarship,Q2 2026,23,23,100.0
BEN-000475,Scholarship,Q3 2026,21,19,90.5
BEN-000477,Scholarship,Q4 2025,25,19,76.0
BEN-000477,Scholarship,Q1 2026,19,16,84.2
BEN-000477,Scholarship,Q2 2026,27,23,85.2
BEN-000477,Scholarship,Q3 2026,23,21,91.3
BEN-000478,Scholarship,Q1 2026,24,17,70.8
BEN-000478,Scholarship,Q2 2026,24,17,70.8
BEN-000478,Scholarship,Q3 2026,28,25,89.3
BEN-000479,Scholarship,Q2 2026,18,10,55.6
BEN-000479,Scholarship,Q3 2026,24,13,54.2
BEN-000483,Scholarship,Q1 2026,27,14,51.9
BEN-000483,Scholarship,Q2 2026,24,12,50.0
BEN-000483,Scholarship,Q3 2026,21,11,52.4
BEN-000484,Scholarship,Q2 2026,24,23,95.8
BEN-000484,Scholarship,Q3 2026,28,13,46.4
BEN-000486,Scholarship,Q4 2025,22,20,90.9
BEN-000486,Scholarship,Q1 2026,19,15,78.9
BEN-000486,Scholarship,Q2 2026,19,16,84.2
BEN-000489,Scholarship,Q4 2025,22,18,81.8
BEN-000489,Scholarship,Q1 2026,21,19,90.5
BEN-000489,Scholarship,Q2 2026,18,12,66.7
BEN-000489,Scholarship,Q3 2026,22,8,36.4
BEN-000490,Scholarship,Q3 2025,18,17,94.4
BEN-000490,Scholarship,Q4 2025,21,19,90.5
BEN-000490,Scholarship,Q1 2026,26,20,76.9
BEN-000498,Scholarship,Q3 2026,23,8,34.8
BEN-000506,Scholarship,Q2 2026,18,13,72.2
BEN-000506,Scholarship,Q3 2026,25,14,56.0
BEN-000507,Scholarship,Q1 2026,19,10,52.6
BEN-000507,Scholarship,Q2 2026,22,14,63.6
BEN-000507,Scholarship,Q3 2026,18,9,50.0
BEN-000508,Scholarship,Q4 2025,18,13,72.2
BEN-000508,Scholarship,Q1 2026,21,19,90.5
BEN-000508,Scholarship,Q2 2026,25,20,80.0
BEN-000511,Scholarship,Q3 2026,20,7,35.0
BEN-000514,Scholarship,Q1 2026,21,15,71.4
BEN-000514,Scholarship,Q2 2026,23,17,73.9
BEN-000514,Scholarship,Q3 2026,22,13,59.1
BEN-000516,Scholarship,Q1 2026,18,14,77.8
BEN-000516,Scholarship,Q2 2026,19,10,52.6
BEN-000516,Scholarship,Q3 2026,20,11,55.0
BEN-000517,Scholarship,Q3 2026,21,9,42.9
BEN-000521,Scholarship,Q3 2025,24,23,95.8
BEN-000521,Scholarship,Q4 2025,18,18,100.0
BEN-000521,Scholarship,Q1 2026,26,20,76.9
BEN-000521,Scholarship,Q2 2026,21,17,81.0
BEN-000522,Scholarship,Q1 2026,21,17,81.0
BEN-000522,Scholarship,Q2 2026,23,22,95.7
BEN-000522,Scholarship,Q3 2026,27,26,96.3
BEN-000523,Scholarship,Q2 2025,21,17,81.0
BEN-000523,Scholarship,Q3 2025,26,18,69.2
BEN-000523,Scholarship,Q4 2025,26,22,84.6
BEN-000523,Scholarship,Q1 2026,27,26,96.3
BEN-000523,Scholarship,Q2 2026,19,16,84.2
BEN-000527,Scholarship,Q4 2025,18,14,77.8
BEN-000527,Scholarship,Q1 2026,27,27,100.0
BEN-000527,Scholarship,Q2 2026,19,14,73.7
BEN-000527,Scholarship,Q3 2026,28,23,82.1
BEN-000528,Scholarship,Q3 2026,28,10,35.7
BEN-000530,Scholarship,Q2 2026,24,16,66.7
BEN-000530,Scholarship,Q3 2026,26,15,57.7
BEN-000536,Scholarship,Q2 2026,21,17,81.0
BEN-000536,Scholarship,Q3 2026,22,11,50.0
BEN-000537,Scholarship,Q2 2025,19,14,73.7
BEN-000537,Scholarship,Q3 2025,23,16,69.6
BEN-000537,Scholarship,Q4 2025,25,25,100.0
BEN-000537,Scholarship,Q1 2026,23,18,78.3
BEN-000537,Scholarship,Q2 2026,24,22,91.7
BEN-000538,Scholarship,Q3 2026,27,12,44.4
BEN-000540,Scholarship,Q2 2026,23,21,91.3
BEN-000540,Scholarship,Q3 2026,27,15,55.6
BEN-000544,Scholarship,Q2 2025,28,28,100.0
BEN-000544,Scholarship,Q3 2025,20,20,100.0
BEN-000544,Scholarship,Q4 2025,23,17,73.9
BEN-000546,Scholarship,Q2 2026,21,19,90.5
BEN-000546,Scholarship,Q3 2026,25,13,52.0
BEN-000550,Scholarship,Q2 2026,27,22,81.5
