beneficiary_id,program,reporting_period,outcome_type,outcome_status,employment_status,completion_status
BEN-000380,Scholarship,Q1 2025,Education,achieved,In Training,Completed
BEN-000382,Scholarship,Q2 2025,Education,not_achieved,Unemployed,Completed
BEN-000391,Scholarship,Q4 2025,Education,achieved,Unemployed,Completed
BEN-000392,Scholarship,Q3 2025,Education,active,Self-Employed,Completed
BEN-000410,Scholarship,Q4 2025,Employment,active,Unemployed,Completed
BEN-000411,Scholarship,Q3 2025,Employment,achieved,Employed,Completed
BEN-000417,Scholarship,Q3 2025,Employment,active,Unemployed,Completed
BEN-000421,Scholarship,Q3 2025,Entrepreneurship,active,Unemployed,Completed
BEN-000428,Scholarship,Q1 2025,Employment,achieved,Employed,Completed
BEN-000433,Scholarship,Q4 2025,Entrepreneurship,achieved,Self-Employed,Completed
BEN-000438,Scholarship,Q1 2025,Employment,achieved,Employed,Completed
BEN-000441,Scholarship,Q4 2025,Employment,achieved,Employed,Completed
BEN-000442,Scholarship,Q1 2026,Education,achieved,In Training,Completed
BEN-000452,Scholarship,Q2 2025,Education,achieved,Unemployed,Completed
BEN-000454,Scholarship,Q2 2025,Community Impact,achieved,Unemployed,Completed
BEN-000455,Scholarship,Q3 2025,Entrepreneurship,active,Employed,Completed
BEN-000461,Scholarship,Q2 2025,Entrepreneurship,achieved,Self-Employed,Completed
BEN-000462,Scholarship,Q2 2025,Employment,not_achieved,Unemployed,Completed
BEN-000471,Scholarship,Q1 2026,Education,achieved,In Training,Completed
BEN-000480,Scholarship,Q4 2025,Education,achieved,Unemployed,Completed
BEN-000488,Scholarship,Q3 2025,Community Impact,achieved,Unemployed,Completed
BEN-000492,Scholarship,Q3 2025,Entrepreneurship,achieved,Self-Employed,Completed
BEN-000522,Scholarship,Q2 2025,Employment,achieved,Employed,Completed
BEN-000526,Scholarship,Q4 2025,Employment,not_achieved,Self-Employed,Completed
BEN-000538,Scholarship,Q3 2025,Entrepreneurship,active,Unemployed,Completed
BEN-000540,Scholarship,Q3 2025,Employment,achieved,Employed,Completed
BEN-000545,Scholarship,Q3 2025,Employment,active,Self-Employed,Completed
BEN-000546,Scholarship,Q1 2025,Entrepreneurship,not_achieved,Unemployed,Completed
BEN-000569,Scholarship,Q4 2025,Education,achieved,In Training,Completed
BEN-000585,Scholarship,Q1 2025,Employment,not_achieved,Employed,Completed
BEN-000598,Scholarship,Q4 2025,Education,achieved,In Training,Completed
BEN-000600,Scholarship,Q4 2025,Employment,active,Unemployed,Completed
BEN-000616,Scholarship,Q2 2025,Education,achieved,In Training,Completed
BEN-000621,Scholarship,Q4 2025,Community Impact,achieved,Unemployed,Completed
BEN-000622,Scholarship,Q3 2025,Employment,active,Employed,Completed
BEN-000626,Scholarship,Q4 2025,Employment,not_achieved,Self-Employed,Completed
BEN-000632,Scholarship,Q1 2026,Education,achieved,In Training,Completed
BEN-000644,Scholarship,Q2 2025,Employment,achieved,Employed,Completed
BEN-000651,Scholarship,Q1 2025,Entrepreneurship,achieved,Self-Employed,Completed
BEN-000663,Scholarship,Q1 2025,Entrepreneurship,active,Unemployed,Completed
BEN-000674,Scholarship,Q4 2025,Community Impact,achieved,Employed,Completed
BEN-000676,Scholarship,Q3 2025,Employment,not_achieved,Unemployed,Completed
BEN-000678,Scholarship,Q3 2025,Education,achieved,In Training,Completed
BEN-000680,Scholarship,Q4 2025,Employment,active,Self-Employed,Completed
BEN-000684,Scholarship,Q3 2025,Employment,not_achieved,Self-Employed,Completed
BEN-000714,Scholarship,Q4 2025,Entrepreneurship,active,Unemployed,Completed
BEN-000724,Scholarship,Q1 2026,Community Impact,active,Unemployed,Completed
BEN-000726,Scholarship,Q2 2025,Education,achieved,Unemployed,Completed
BEN-000733,Scholarship,Q1 2026,Community Impact,active,Unemployed,Completed
BEN-000741,Scholarship,Q4 2025,Employment,not_achieved,Unemployed,Completed
BEN-000742,Scholarship,Q1 2026,Entrepreneurship,achieved,Self-Employed,Completed
BEN-000752,Scholarship,Q4 2025,Entrepreneurship,achieved,Self-Employed,Completed
BEN-000760,Scholarship,Q4 2025,Employment,active,Employed,Completed
BEN-000764,Scholarship,Q3 2025,Education,achieved,Unemployed,Completed
BEN-000780,Scholarship,Q1 2025,Entrepreneurship,active,Self-Employed,Completed
BEN-000785,Scholarship,Q2 2025,Employment,achieved,Employed,Completed
BEN-000829,Scholarship,Q1 2026,Community Impact,active,Self-Employed,Completed
BEN-000839,Scholarship,Q4 2025,Community Impact,achieved,Self-Employed,Completed
BEN-000842,Scholarship,Q3 2025,Entrepreneurship,active,Employed,Completed
BEN-000856,Scholarship,Q2 2025,Education,achieved,In Training,Completed
BEN-000858,Scholarship,Q2 2025,Entrepreneurship,achieved,Self-Employed,Completed
BEN-000863,Scholarship,Q1 2025,Entrepreneurship,active,Employed,Completed
BEN-000868,Scholarship,Q4 2025,Entrepreneurship,achieved,Self-Employed,Completed
BEN-000870,Scholarship,Q1 2026,Employment,achieved,Employed,Completed
BEN-000902,Scholarship,Q2 2025,Community Impact,active,Employed,Completed
BEN-000905,Scholarship,Q1 2025,Employment,not_achieved,Employed,Completed
BEN-000909,Scholarship,Q4 2025,Employment,active,Employed,Completed
BEN-000918,Scholarship,Q4 2025,Employment,achieved,Employed,Completed
BEN-000931,Scholarship,Q1 2026,Employment,not_achieved,Unemployed,Completed
BEN-000949,Scholarship,Q3 2025,Employment,not_achieved,Unemployed,Completed
BEN-000984,Scholarship,Q3 2025,Employment,achieved,Employed,Completed
BEN-000987,Scholarship,Q1 2026,Employment,active,Self-Employed,Completed
BEN-001026,Scholarship,Q1 2025,Education,achieved,Unemployed,Completed
BEN-001046,Scholarship,Q1 2026,Employment,achieved,Employed,Completed
BEN-001058,Scholarship,Q4 2025,Entrepreneurship,achieved,Self-Employed,Completed
BEN-001067,Scholarship,Q3 2025,Education,achieved,In Training,Completed
BEN-001079,Scholarship,Q1 2025,Education,achieved,Unemployed,Completed
BEN-001083,Scholarship,Q3 2025,Entrepreneurship,achieved,Self-Employed,Completed
BEN-001096,Scholarship,Q3 2025,Entrepreneurship,active,Unemployed,Completed
BEN-001100,Scholarship,Q2 2025,Employment,achieved,Employed,Completed
BEN-001124,Scholarship,Q3 2025,Community Impact,active,Unemployed,Completed
BEN-001132,Scholarship,Q2 2025,Employment,achieved,Employed,Completed
BEN-001150,Scholarship,Q3 2025,Community Impact,achieved,Employed,Completed
BEN-001151,Scholarship,Q3 2025,Entrepreneurship,achieved,Self-Employed,Completed
BEN-001157,Scholarship,Q4 2025,Employment,achieved,Employed,Completed
BEN-001160,Scholarship,Q3 2025,Employment,not_achieved,Unemployed,Completed
BEN-001179,Scholarship,Q1 2026,Entrepreneurship,active,Employed,Completed
BEN-001184,Scholarship,Q4 2025,Employment,active,Employed,Completed
BEN-001192,Scholarship,Q2 2025,Employment,not_achieved,Employed,Completed
BEN-001199,Scholarship,Q2 2025,Employment,achieved,Employed,Completed
BEN-001225,Scholarship,Q1 2026,Employment,active,Self-Employed,Completed
BEN-001232,Scholarship,Q4 2025,Employment,active,Unemployed,Completed
BEN-001258,Scholarship,Q4 2025,Entrepreneurship,achieved,Self-Employed,Completed
BEN-001272,Scholarship,Q1 2025,Community Impact,achieved,Self-Employed,Completed
BEN-001282,Scholarship,Q3 2025,Education,active,Employed,Completed
BEN-001283,Scholarship,Q2 2025,Entrepreneurship,not_achieved,Unemployed,Completed
BEN-001291,Scholarship,Q1 2026,Employment,achieved,Employed,Completed
BEN-001294,Scholarship,Q1 2026,Employment,active,Unemployed,Completed
BEN-001308,Scholarship,Q4 2025,Education,not_achieved,Unemployed,Completed
BEN-001331,Scholarship,Q2 2025,Education,achieved,In Training,Completed
BEN-001341,Scholarship,Q3 2025,Employment,not_achieved,Employed,Completed
BEN-001345,Scholarship,Q2 2025,Entrepreneurship,achieved,Self-Employed,Completed
BEN-001361,Scholarship,Q4 2025,Employment,achieved,Employed,Completed
BEN-001365,Scholarship,Q3 2025,Entrepreneurship,achieved,Self-Employed,Completed
BEN-001371,Scholarship,Q4 2025,Education,not_achieved,Unemployed,Completed
BEN-001376,Scholarship,Q4 2025,Employment,achieved,Employed,Completed
BEN-001380,Scholarship,Q1 2026,Employment,achieved,Employed,Completed
BEN-001382,Scholarship,Q1 2026,Entrepreneurship,achieved,Self-Employed,Completed
BEN-001389,Scholarship,Q4 2025,Community Impact,achieved,Employed,Completed
BEN-001393,Scholarship,Q3 2025,Community Impact,achieved,Employed,Completed
BEN-001401,Scholarship,Q2 2025,Community Impact,achieved,Self-Employed,Completed
BEN-001405,Scholarship,Q4 2025,Education,active,Employed,Completed
BEN-001416,Scholarship,Q3 2025,Employment,active,Unemployed,Completed
BEN-001440,Scholarship,Q3 2025,Entrepreneurship,not_achieved,Employed,Completed
BEN-001441,Scholarship,Q1 2026,Entrepreneurship,active,Unemployed,Completed
BEN-001449,Scholarship,Q4 2025,Education,active,Self-Employed,Completed
BEN-001450,Scholarship,Q2 2025,Entrepreneurship,achieved,Self-Employed,Completed
BEN-001457,Scholarship,Q1 2026,Employment,active,Unemployed,Completed
BEN-001459,Scholarship,Q4 2025,Entrepreneurship,achieved,Self-Employed,Completed
BEN-001473,Scholarship,Q3 2025,Employment,active,Unemployed,Completed
BEN-001482,Scholarship,Q4 2025,Entrepreneurship,active,Employed,Completed
BEN-001497,Scholarship,Q3 2025,Employment,active,Unemployed,Completed
BEN-001503,Scholarship,Q3 2025,Entrepreneurship,not_achieved,Unemployed,Completed
BEN-001507,Scholarship,Q1 2025,Education,active,Unemployed,Completed
BEN-001508,Scholarship,Q1 2026,Employment,not_achieved,Self-Employed,Completed
BEN-001513,Scholarship,Q2 2025,Entrepreneurship,achieved,Self-Employed,Completed
BEN-001517,Scholarship,Q2 2025,Employment,achieved,Employed,Completed
BEN-001526,Scholarship,Q2 2025,Employment,active,Unemployed,Completed
BEN-001537,Scholarship,Q3 2025,Employment,achieved,Employed,Completed
BEN-001569,Scholarship,Q1 2025,Employment,not_achieved,Self-Employed,Completed
BEN-001572,Scholarship,Q2 2025,Education,achieved,In Training,Completed
BEN-001573,Scholarship,Q2 2025,Community Impact,active,Unemployed,Completed
BEN-001595,Scholarship,Q1 2025,Employment,achieved,Employed,Completed
BEN-001599,Scholarship,Q2 2025,Entrepreneurship,active,Self-Employed,Completed
BEN-001600,Scholarship,Q3 2025,Education,achieved,Unemployed,Completed
BEN-001602,Scholarship,Q3 2025,Employment,active,Unemployed,Completed
BEN-001603,Scholarship,Q3 2025,Entrepreneurship,achieved,Self-Employed,Completed
BEN-001606,Scholarship,Q3 2025,Entrepreneurship,achieved,Self-Employed,Completed
BEN-001612,Scholarship,Q2 2025,Employment,achieved,Employed,Completed
BEN-001617,Scholarship,Q4 2025,Education,active,Unemployed,Completed
BEN-001621,Scholarship,Q4 2025,Employment,achieved,Employed,Completed
BEN-001622,Scholarship,Q4 2025,Education,achieved,Unemployed,Completed
BEN-001627,Scholarship,Q4 2025,Education,achieved,Unemployed,Completed
BEN-001628,Scholarship,Q3 2025,Entrepreneurship,active,Unemployed,Completed
BEN-001633,Scholarship,Q2 2025,Education,achieved,In Training,Completed
BEN-001634,Scholarship,Q2 2025,Employment,achieved,Employed,Completed
BEN-001647,Scholarship,Q1 2025,Education,active,Self-Employed,Completed
BEN-001649,Scholarship,Q2 2025,Education,active,Employed,Completed
BEN-001667,Scholarship,Q4 2025,Education,achieved,In Training,Completed
BEN-001670,Scholarship,Q2 2025,Community Impact,active,Employed,Completed
BEN-001675,Scholarship,Q4 2025,Entrepreneurship,achieved,Self-Employed,Completed
BEN-001676,Scholarship,Q1 2025,Education,achieved,Unemployed,Completed
BEN-001707,Scholarship,Q4 2025,Entrepreneurship,active,Self-Employed,Completed
BEN-001726,Scholarship,Q1 2026,Employment,active,Self-Employed,Completed
BEN-001730,Scholarship,Q1 2026,Employment,achieved,Employed,Completed
BEN-001741,Scholarship,Q2 2025,Community Impact,achieved,Unemployed,Completed
BEN-001748,Scholarship,Q4 2025,Community Impact,achieved,Unemployed,Completed
BEN-001760,Scholarship,Q1 2026,Education,not_achieved,Unemployed,Completed
BEN-001784,Scholarship,Q3 2025,Education,active,Employed,Completed
BEN-001790,Scholarship,Q1 2026,Education,active,Unemployed,Completed
BEN-001803,Scholarship,Q2 2025,Entrepreneurship,achieved,Self-Employed,Completed
BEN-001804,Scholarship,Q4 2025,Community Impact,achieved,Self-Employed,Completed
BEN-001807,Scholarship,Q3 2025,Entrepreneurship,achieved,Self-Employed,Completed
BEN-001814,Scholarship,Q4 2025,Education,achieved,In Training,Completed
BEN-001815,Scholarship,Q3 2025,Employment,not_achieved,Unemployed,Completed
BEN-001829,Scholarship,Q4 2025,Employment,not_achieved,Unemployed,Completed
BEN-001834,Scholarship,Q2 2025,Entrepreneurship,active,Unemployed,Completed
BEN-001836,Scholarship,Q4 2025,Employment,achieved,Employed,Completed
BEN-001837,Scholarship,Q1 2026,Education,achieved,In Training,Completed
BEN-001839,Scholarship,Q4 2025,Employment,achieved,Employed,Completed
BEN-001848,Scholarship,Q2 2025,Education,achieved,Unemployed,Completed
BEN-001854,Scholarship,Q1 2026,Employment,not_achieved,Unemployed,Completed
BEN-001874,Scholarship,Q1 2026,Community Impact,active,Unemployed,Completed
BEN-001877,Scholarship,Q1 2026,Employment,active,Self-Employed,Completed
BEN-001882,Scholarship,Q3 2025,Employment,achieved,Employed,Completed
BEN-001893,Scholarship,Q2 2025,Community Impact,achieved,Unemployed,Completed
BEN-001896,Scholarship,Q4 2025,Employment,active,Unemployed,Completed
BEN-001901,Scholarship,Q3 2025,Employment,active,Unemployed,Completed
BEN-001911,Scholarship,Q4 2025,Education,achieved,Unemployed,Completed
BEN-001917,Scholarship,Q4 2025,Education,achieved,In Training,Completed
BEN-001919,Scholarship,Q3 2025,Education,achieved,In Training,Completed
BEN-001926,Scholarship,Q2 2025,Education,active,Unemployed,Completed
BEN-001928,Scholarship,Q1 2026,Employment,achieved,Employed,Completed
BEN-001929,Scholarship,Q2 2025,Employment,achieved,Employed,Completed
BEN-001963,Scholarship,Q2 2025,Employment,achieved,Employed,Completed
BEN-001964,Scholarship,Q3 2025,Education,achieved,In Training,Completed
BEN-001972,Scholarship,Q1 2026,Entrepreneurship,achieved,Self-Employed,Completed
BEN-001990,Scholarship,Q1 2026,Education,active,Unemployed,Completed
BEN-002004,Scholarship,Q3 2025,Employment,achieved,Employed,Completed
BEN-002008,Scholarship,Q2 2025,Education,achieved,Unemployed,Completed
BEN-002030,Scholarship,Q3 2025,Education,achieved,Unemployed,Completed
BEN-002040,Scholarship,Q3 2025,Education,achieved,Unemployed,Completed
BEN-002050,Scholarship,Q3 2025,Education,active,Unemployed,Completed
BEN-002053,Scholarship,Q4 2025,Entrepreneurship,achieved,Self-Employed,Completed
BEN-002061,Scholarship,Q2 2025,Community Impact,achieved,Unemployed,Completed
BEN-002072,Scholarship,Q3 2025,Employment,achieved,Employed,Completed
BEN-002099,Scholarship,Q1 2026,Education,not_achieved,Unemployed,Completed
BEN-002112,Scholarship,Q1 2025,Entrepreneurship,active,Self-Employed,Completed
BEN-002113,Scholarship,Q4 2025,Community Impact,active,Unemployed,Completed
BEN-002136,Scholarship,Q2 2025,Education,achieved,In Training,Completed
BEN-002151,Scholarship,Q1 2026,Community Impact,active,Employed,Completed
BEN-002161,Scholarship,Q3 2025,Education,achieved,Unemployed,Completed
BEN-002176,Scholarship,Q3 2025,Entrepreneurship,not_achieved,Unemployed,Completed
BEN-002203,Scholarship,Q1 2025,Employment,achieved,Employed,Completed
BEN-002222,Scholarship,Q2 2025,Entrepreneurship,achieved,Self-Employed,Completed
BEN-002226,Scholarship,Q4 2025,Employment,achieved,Employed,Completed
BEN-002230,Scholarship,Q1 2025,Employment,active,Unemployed,Completed
BEN-002240,Scholarship,Q3 2025,Education,active,Employed,Completed
BEN-002260,Scholarship,Q2 2025,Entrepreneurship,achieved,Self-Employed,Completed
BEN-002271,Scholarship,Q4 2025,Employment,achieved,Employed,Completed
BEN-002275,Scholarship,Q1 2025,Employment,active,Employed,Completed
BEN-002295,Scholarship,Q3 2025,Entrepreneurship,active,Employed,Completed
BEN-002296,Scholarship,Q2 2025,Education,achieved,In Training,Completed
BEN-002297,Scholarship,Q2 2025,Community Impact,achieved,Self-Employed,Completed
BEN-002298,Scholarship,Q3 2025,Education,active,Self-Employed,Completed
BEN-002302,Scholarship,Q4 2025,Entrepreneurship,achieved,Self-Employed,Completed
BEN-002314,Scholarship,Q4 2025,Community Impact,achieved,Self-Employed,Completed
BEN-002321,Scholarship,Q3 2025,Employment,achieved,Employed,Completed
BEN-002324,Scholarship,Q3 2025,Education,not_achieved,Self-Employed,Completed
BEN-002335,Scholarship,Q3 2025,Employment,achieved,Employed,Completed
BEN-002345,Scholarship,Q4 2025,Employment,achieved,Employed,Completed
BEN-002379,Scholarship,Q2 2025,Entrepreneurship,achieved,Self-Employed,Completed
BEN-002385,Scholarship,Q2 2025,Employment,achieved,Employed,Completed
BEN-002389,Scholarship,Q1 2025,Employment,achieved,Employed,Completed
BEN-002390,Scholarship,Q3 2025,Education,active,Unemployed,Completed
BEN-002392,Scholarship,Q1 2025,Education,not_achieved,Unemployed,Completed
BEN-002395,Scholarship,Q4 2025,Employment,not_achieved,Employed,Completed
BEN-002402,Scholarship,Q2 2025,Community Impact,achieved,Employed,Completed
BEN-002427,Scholarship,Q4 2025,Entrepreneurship,not_achieved,Employed,Completed
BEN-002429,Scholarship,Q2 2025,Employment,achieved,Employed,Completed
BEN-002439,Scholarship,Q1 2026,Entrepreneurship,active,Unemployed,Completed
BEN-002443,Scholarship,Q4 2025,Education,achieved,In Training,Completed
BEN-002452,Scholarship,Q2 2025,Employment,achieved,Employed,Completed
BEN-002455,Scholarship,Q4 2025,Education,active,Self-Employed,Completed
BEN-002460,Scholarship,Q3 2025,Employment,active,Self-Employed,Completed
BEN-002486,Scholarship,Q4 2025,Community Impact,active,Employed,Completed
BEN-002487,Scholarship,Q3 2025,Employment,achieved,Employed,Completed
BEN-002490,Scholarship,Q4 2025,Education,not_achieved,Unemployed,Completed
BEN-002503,Scholarship,Q1 2025,Employment,not_achieved,Employed,Completed
BEN-002507,Scholarship,Q2 2025,Education,active,Unemployed,Completed
BEN-002512,Scholarship,Q1 2025,Education,achieved,In Training,Completed
BEN-002515,Scholarship,Q2 2025,Education,achieved,In Training,Completed
BEN-002524,Scholarship,Q1 2025,Entrepreneurship,achieved,Self-Employed,Completed
BEN-002525,Scholarship,Q3 2025,Employment,active,Employed,Completed
BEN-002530,Scholarship,Q1 2026,Entrepreneurship,achieved,Self-Employed,Completed
BEN-002549,Scholarship,Q1 2026,Employment,achieved,Employed,Completed
BEN-002550,Scholarship,Q3 2025,Employment,achieved,Employed,Completed
BEN-002554,Scholarship,Q1 2026,Employment,achieved,Employed,Completed
BEN-002563,Scholarship,Q3 2025,Entrepreneurship,not_achieved,Self-Employed,Completed
BEN-002578,Scholarship,Q1 2025,Entrepreneurship,achieved,Self-Employed,Completed
BEN-002580,Scholarship,Q2 2025,Community Impact,active,Employed,Completed
BEN-002589,Scholarship,Q3 2025,Community Impact,active,Employed,Completed
BEN-002592,Scholarship,Q4 2025,Employment,achieved,Employed,Completed
BEN-002599,Scholarship,Q2 2025,Education,active,Unemployed,Completed
BEN-002606,Scholarship,Q1 2025,Entrepreneurship,active,Unemployed,Completed
BEN-002609,Scholarship,Q1 2025,Education,achieved,Unemployed,Completed
BEN-002610,Scholarship,Q4 2025,Education,achieved,Unemployed,Completed
BEN-002615,Scholarship,Q1 2026,Education,achieved,Unemployed,Completed
BEN-002618,Scholarship,Q4 2025,Employment,active,Self-Employed,Completed
BEN-002623,Scholarship,Q1 2025,Entrepreneurship,achieved,Self-Employed,Completed
BEN-002650,Scholarship,Q4 2025,Employment,achieved,Employed,Completed
BEN-002661,Scholarship,Q3 2025,Employment,achieved,Employed,Completed
BEN-002662,Scholarship,Q3 2025,Community Impact,not_achieved,Employed,Completed
BEN-002668,Scholarship,Q1 2026,Entrepreneurship,achieved,Self-Employed,Completed
BEN-002669,Scholarship,Q2 2025,Entrepreneurship,achieved,Self-Employed,Completed
BEN-002676,Scholarship,Q1 2025,Education,active,Unemployed,Completed
BEN-002688,Scholarship,Q3 2025,Employment,active,Unemployed,Completed
BEN-002692,Scholarship,Q1 2026,Employment,achieved,Employed,Completed
BEN-002694,Scholarship,Q3 2025,Community Impact,active,Unemployed,Completed
BEN-002700,Scholarship,Q2 2025,Community Impact,not_achieved,Unemployed,Completed
BEN-002718,Scholarship,Q3 2025,Community Impact,achieved,Employed,Completed
BEN-002735,Scholarship,Q3 2025,Entrepreneurship,active,Unemployed,Completed
BEN-002741,Scholarship,Q1 2025,Education,achieved,Unemployed,Completed
BEN-002752,Scholarship,Q3 2025,Community Impact,active,Unemployed,Completed
BEN-002753,Scholarship,Q4 2025,Employment,achieved,Employed,Completed
BEN-002759,Scholarship,Q4 2025,Employment,achieved,Employed,Completed
BEN-002760,Scholarship,Q4 2025,Education,achieved,Unemployed,Completed
BEN-002774,Scholarship,Q1 2025,Entrepreneurship,achieved,Self-Employed,Completed
BEN-002794,Scholarship,Q2 2025,Employment,active,Employed,Completed
BEN-002799,Scholarship,Q2 2025,Employment,achieved,Employed,Completed
BEN-002800,Scholarship,Q1 2025,Entrepreneurship,active,Self-Employed,Completed
BEN-002801,Scholarship,Q2 2025,Employment,achieved,Employed,Completed
BEN-002832,Scholarship,Q1 2025,Entrepreneurship,active,Self-Employed,Completed
BEN-002860,Scholarship,Q4 2025,Employment,active,Employed,Completed
BEN-002863,Scholarship,Q3 2025,Employment,achieved,Employed,Completed
BEN-002878,Scholarship,Q2 2025,Employment,active,Unemployed,Completed
BEN-002881,Scholarship,Q2 2025,Employment,not_achieved,Self-Employed,Completed
BEN-002885,Scholarship,Q1 2025,Entrepreneurship,active,Unemployed,Completed
BEN-002889,Scholarship,Q2 2025,Community Impact,achieved,Unemployed,Completed
BEN-002906,Scholarship,Q4 2025,Employment,not_achieved,Self-Employed,Completed
BEN-002913,Scholarship,Q3 2025,Employment,achieved,Employed,Completed
BEN-002922,Scholarship,Q4 2025,Education,active,Self-Employed,Completed
BEN-002934,Scholarship,Q1 2025,Education,achieved,Unemployed,Completed
BEN-002948,Scholarship,Q1 2025,Community Impact,achieved,Employed,Completed
BEN-002957,Scholarship,Q1 2026,Employment,achieved,Employed,Completed
BEN-002960,Scholarship,Q4 2025,Community Impact,achieved,Employed,Completed
BEN-002971,Scholarship,Q4 2025,Community Impact,active,Self-Employed,Completed
BEN-002992,Scholarship,Q1 2025,Employment,not_achieved,Unemployed,Completed
BEN-002998,Scholarship,Q2 2025,Education,active,Unemployed,Completed
BEN-003001,Scholarship,Q3 2025,Entrepreneurship,achieved,Self-Employed,Completed
BEN-003010,Scholarship,Q3 2025,Education,achieved,Unemployed,Completed
BEN-003012,Scholarship,Q3 2025,Employment,achieved,Employed,Completed
BEN-003018,Scholarship,Q4 2025,Education,achieved,In Training,Completed
BEN-003025,Scholarship,Q3 2025,Community Impact,achieved,Unemployed,Completed
BEN-003039,Scholarship,Q3 2025,Education,active,Unemployed,Completed
BEN-003050,Scholarship,Q4 2025,Community Impact,achieved,Self-Employed,Completed
BEN-003055,Scholarship,Q1 2026,Education,achieved,In Training,Completed
BEN-003057,Scholarship,Q4 2025,Employment,active,Unemployed,Completed
BEN-003061,Scholarship,Q1 2025,Community Impact,active,Unemployed,Completed
BEN-003074,Scholarship,Q3 2025,Entrepreneurship,achieved,Self-Employed,Completed
BEN-003075,Scholarship,Q1 2025,Employment,achieved,Employed,Completed
BEN-003083,Scholarship,Q1 2026,Education,active,Unemployed,Completed
BEN-003092,Scholarship,Q4 2025,Entrepreneurship,achieved,Self-Employed,Completed
BEN-003095,Scholarship,Q1 2025,Community Impact,not_achieved,Unemployed,Completed
BEN-003099,Scholarship,Q1 2026,Community Impact,not_achieved,Unemployed,Completed
BEN-003108,Scholarship,Q1 2025,Community Impact,achieved,Unemployed,Completed
BEN-003109,Scholarship,Q3 2025,Community Impact,achieved,Employed,Completed
BEN-003112,Scholarship,Q3 2025,Entrepreneurship,achieved,Self-Employed,Completed
BEN-003127,Scholarship,Q1 2026,Education,not_achieved,Unemployed,Completed
BEN-003141,Scholarship,Q1 2025,Community Impact,active,Employed,Completed
BEN-003144,Scholarship,Q3 2025,Education,achieved,In Training,Completed
BEN-003170,Scholarship,Q4 2025,Employment,achieved,Employed,Completed
BEN-003180,Scholarship,Q3 2025,Employment,achieved,Employed,Completed
BEN-003194,Scholarship,Q3 2025,Community Impact,achieved,Employed,Completed
BEN-003200,Scholarship,Q2 2025,Education,achieved,In Training,Completed
BEN-003209,Scholarship,Q3 2025,Entrepreneurship,achieved,Self-Employed,Completed
BEN-003218,Scholarship,Q2 2025,Education,achieved,In Training,Completed
BEN-003219,Scholarship,Q1 2026,Community Impact,achieved,Employed,Completed
BEN-003235,Scholarship,Q2 2025,Employment,active,Unemployed,Completed
BEN-003243,Scholarship,Q3 2025,Entrepreneurship,achieved,Self-Employed,Completed
BEN-003248,Scholarship,Q2 2025,Community Impact,achieved,Unemployed,Completed
