beneficiary_id,program,enrollment_date,reporting_period,status,education_level,academic_year,institution,activity,sessions_attended,sessions_expected,participation_rate,course,training_center,training_provider,certification_status,employment_status,skills_acquired
BEN-000345,Scholarship,2026-03-09,Q1 2026,active,Bachelor,2025/2026,University of Nairobi,,,,,,,,,,
BEN-000352,Scholarship,2026-04-13,Q2 2026,active,Bachelor,2025/2026,Catholic University of Eastern Africa,,,,,,,,,,
BEN-000354,Scholarship,2026-06-29,Q2 2026,active,Bachelor,2025/2026,Africa Nazarene University,,,,,,,,,,
BEN-000356,Scholarship,2026-08-28,Q3 2026,active,Diploma,2025/2026,University of Nairobi,,,,,,,,,,
BEN-000358,Scholarship,2025-11-10,Q4 2025,completed,Diploma,2025/2026,Catholic University of Eastern Africa,,,,,,,,,,
BEN-000360,Scholarship,2026-02-19,Q1 2026,completed,Diploma,2025/2026,Strathmore University,,,,,,,,,,
BEN-000362,Scholarship,2025-11-23,Q4 2025,completed,Bachelor,2025/2026,Moi University,,,,,,,,,,
BEN-000363,Scholarship,2025-10-26,Q4 2025,active,Diploma,2025/2026,Kenyatta University,,,,,,,,,,
BEN-000364,Scholarship,2026-04-15,Q2 2026,active,Master,2025/2026,Jomo Kenyatta University,,,,,,,,,,
BEN-000367,Scholarship,2026-02-24,Q1 2026,completed,Bachelor,2025/2026,University of Nairobi,,,,,,,,,,
BEN-000369,Scholarship,2026-08-19,Q3 2026,active,Bachelor,2025/2026,Moi University,,,,,,,,,,
BEN-000370,Scholarship,2026-06-19,Q2 2026,active,Diploma,2025/2026,Jomo Kenyatta University,,,,,,,,,,
BEN-000376,Scholarship,2026-05-06,Q2 2026,active,Bachelor,2025/2026,University of Nairobi,,,,,,,,,,
BEN-000377,Scholarship,2026-02-20,Q1 2026,active,Bachelor,2025/2026,Africa Nazarene University,,,,,,,,,,
BEN-000379,Scholarship,2026-07-27,Q3 2026,active,Bachelor,2025/2026,Moi University,,,,,,,,,,
BEN-000382,Scholarship,2025-08-27,Q3 2025,completed,Bachelor,2024/2025,Moi University,,,,,,,,,,
BEN-000384,Scholarship,2026-07-24,Q3 2026,active,Bachelor,2025/2026,Maseno University,,,,,,,,,,
BEN-000389,Scholarship,2025-10-08,Q4 2025,dropped_out,Diploma,2025/2026,Catholic University of Eastern Africa,,,,,,,,,,
BEN-000395,Scholarship,2026-04-24,Q2 2026,active,Master,2025/2026,Kenyatta University,,,,,,,,,,
BEN-000401,Scholarship,2026-02-25,Q1 2026,completed,Bachelor,2025/2026,Kenyatta University,,,,,,,,,,
BEN-000402,Scholarship,2026-05-30,Q2 2026,active,Bachelor,2025/2026,Jomo Kenyatta University,,,,,,,,,,
BEN-000410,Scholarship,2026-06-26,Q2 2026,active,Master,2025/2026,Strathmore University,,,,,,,,,,
BEN-000417,Scholarship,2026-02-16,Q1 2026,completed,Diploma,2025/2026,Africa Nazarene University,,,,,,,,,,
BEN-000419,Scholarship,2026-01-04,Q1 2026,completed,Bachelor,2025/2026,University of Nairobi,,,,,,,,,,
BEN-000428,Scholarship,2025-09-05,Q3 2025,completed,Bachelor,2025/2026,Jomo Kenyatta University,,,,,,,,,,
BEN-000429,Scholarship,2026-04-21,Q2 2026,active,Master,2025/2026,Catholic University of Eastern Africa,,,,,,,,,,
BEN-000430,Scholarship,2025-09-28,Q3 2025,completed,Bachelor,2025/2026,Maseno University,,,,,,,,,,
BEN-000436,Scholarship,2026-08-17,Q3 2026,active,Master,2025/2026,Maseno University,,,,,,,,,,
BEN-000438,Scholarship,2025-10-04,Q4 2025,completed,Master,2025/2026,Daystar University,,,,,,,,,,
BEN-000441,Scholarship,2025-05-22,Q2 2025,dropped_out,Bachelor,2024/2025,Strathmore University,,,,,,,,,,
BEN-000442,Scholarship,2025-01-12,Q1 2025,dropped_out,Bachelor,2024/2025,Mount Kenya University,,,,,,,,,,
BEN-000444,Scholarship,2026-06-02,Q2 2026,active,Bachelor,2025/2026,University of Nairobi,,,,,,,,,,
BEN-000445,Scholarship,2026-07-28,Q3 2026,active,Bachelor,2025/2026,Daystar University,,,,,,,,,,
BEN-000448,Scholarship,2025-08-17,Q3 2025,dropped_out,Diploma,2024/2025,Moi University,,,,,,,,,,
BEN-000450,Scholarship,2026-03-12,Q1 2026,active,Bachelor,2025/2026,Maseno University,,,,,,,,,,
BEN-000451,Scholarship,2025-11-20,Q4 2025,completed,Bachelor,2025/2026,Africa Nazarene University,,,,,,,,,,
BEN-000454,Scholarship,2025-12-16,Q4 2025,active,Bachelor,2025/2026,Moi University,,,,,,,,,,
BEN-000456,Scholarship,2025-09-26,Q3 2025,completed,Bachelor,2025/2026,Kenyatta University,,,,,,,,,,
BEN-000464,Scholarship,2025-07-16,Q3 2025,completed,Diploma,2024/2025,Mount Kenya University,,,,,,,,,,
BEN-000467,Scholarship,2026-03-29,Q1 2026,completed,Bachelor,2025/2026,Strathmore University,,,,,,,,,,
BEN-000469,Scholarship,2026-08-24,Q3 2026,active,Diploma,2025/2026,Kenyatta University,,,,,,,,,,
BEN-000472,Scholarship,2025-08-23,Q3 2025,completed,Bachelor,2024/2025,Africa Nazarene University,,,,,,,,,,
BEN-000475,Scholarship,2025-09-27,Q3 2025,completed,Bachelor,2025/2026,Jomo Kenyatta University,,,,,,,,,,
BEN-000477,Scholarship,2025-12-20,Q4 2025,completed,Bachelor,2025/2026,Maseno University,,,,,,,,,,
BEN-000478,Scholarship,2026-03-13,Q1 2026,completed,Master,2025/2026,Maseno University,,,,,,,,,,
BEN-000479,Scholarship,2026-05-21,Q2 2026,active,Diploma,2025/2026,Daystar University,,,,,,,,,,
BEN-000483,Scholarship,2026-03-02,Q1 2026,active,Bachelor,2025/2026,Maseno University,,,,,,,,,,
BEN-000484,Scholarship,2026-04-21,Q2 2026,active,Bachelor,2025/2026,Maseno University,,,,,,,,,,
BEN-000486,Scholarship,2025-12-27,Q4 2025,completed,Bachelor,2025/2026,Daystar University,,,,,,,,,,
BEN-000489,Scholarship,2025-11-12,Q4 2025,active,Diploma,2025/2026,Moi University,,,,,,,,,,
BEN-000490,Scholarship,2025-08-09,Q3 2025,completed,Bachelor,2024/2025,Jomo Kenyatta University,,,,,,,,,,
BEN-000498,Scholarship,2026-08-02,Q3 2026,active,Bachelor,2025/2026,Maseno University,,,,,,,,,,
BEN-000506,Scholarship,2026-05-08,Q2 2026,active,Diploma,2025/2026,Catholic University of Eastern Africa,,,,,,,,,,
BEN-000507,Scholarship,2026-01-10,Q1 2026,active,Bachelor,2025/2026,Daystar University,,,,,,,,,,
BEN-000508,Scholarship,2025-10-17,Q4 2025,completed,Bachelor,2025/2026,Jomo Kenyatta University,,,,,,,,,,
BEN-000511,Scholarship,2026-09-06,Q3 2026,active,Bachelor,2026/2027,Strathmore University,,,,,,,,,,
BEN-000514,Scholarship,2026-01-16,Q1 2026,active,Bachelor,2025/2026,Catholic University of Eastern Africa,,,,,,,,,,
BEN-000516,Scholarship,2026-03-16,Q1 2026,active,Bachelor,2025/2026,Kenyatta University,,,,,,,,,,
BEN-000517,Scholarship,2026-09-17,Q3 2026,active,Bachelor,2026/2027,Moi University,,,,,,,,,,
BEN-000521,Scholarship,2025-07-12,Q3 2025,completed,Bachelor,2024/2025,Mount Kenya University,,,,,,,,,,
BEN-000522,Scholarship,2026-01-21,Q1 2026,completed,Bachelor,2025/2026,Africa Nazarene University,,,,,,,,,,
BEN-000523,Scholarship,2025-04-26,Q2 2025,completed,Bachelor,2024/2025,Kenyatta University,,,,,,,,,,
BEN-000527,Scholarship,2025-11-25,Q4 2025,completed,Diploma,2025/2026,Strathmore University,,,,,,,,,,
BEN-000528,Scholarship,2026-07-16,Q3 2026,active,Master,2025/2026,Moi University,,,,,,,,,,
BEN-000530,Scholarship,2026-05-18,Q2 2026,active,Diploma,2025/2026,University of Nairobi,,,,,,,,,,
BEN-000536,Scholarship,2026-04-16,Q2 2026,active,Bachelor,2025/2026,Strathmore University,,,,,,,,,,
BEN-000537,Scholarship,2025-04-03,Q2 2025,completed,Bachelor,2024/2025,Africa Nazarene University,,,,,,,,,,
BEN-000538,Scholarship,2026-08-14,Q3 2026,active,Diploma,2025/2026,Kenyatta University,,,,,,,,,,
BEN-000540,Scholarship,2026-05-27,Q2 2026,active,Bachelor,2025/2026,Maseno University,,,,,,,,,,
BEN-000544,Scholarship,2025-04-13,Q2 2025,completed,Bachelor,2024/2025,Mount Kenya University,,,,,,,,,,
BEN-000546,Scholarship,2026-06-28,Q2 2026,active,Diploma,2025/2026,Maseno University,,,,,,,,,,
BEN-000550,Scholarship,2026-05-19,Q2 2026,active,Bachelor,2025/2026,Africa Nazarene University,,,,,,,,,,
BEN-000551,Scholarship,2026-08-22,Q3 2026,active,Bachelor,2025/2026,Daystar University,,,,,,,,,,
BEN-000552,Scholarship,2026-07-02,Q3 2026,active,Bachelor,2025/2026,Mount Kenya University,,,,,,,,,,
BEN-000560,Scholarship,2026-01-16,Q1 2026,active,Diploma,2025/2026,Kenyatta University,,,,,,,,,,
BEN-000561,Scholarship,2026-03-02,Q1 2026,completed,Diploma,2025/2026,University of Nairobi,,,,,,,,,,
BEN-000562,Scholarship,2026-05-30,Q2 2026,active,Bachelor,2025/2026,Daystar University,,,,,,,,,,
BEN-000563,Scholarship,2025-07-03,Q3 2025,completed,Bachelor,2024/2025,Strathmore University,,,,,,,,,,
BEN-000566,Scholarship,2025-09-11,Q3 2025,completed,Diploma,2025/2026,Catholic University of Eastern Africa,,,,,,,,,,
BEN-000567,Scholarship,2025-11-29,Q4 2025,completed,Master,2025/2026,Jomo Kenyatta University,,,,,,,,,,
BEN-000569,Scholarship,2026-09-09,Q3 2026,active,Bachelor,2026/2027,Maseno University,,,,,,,,,,
BEN-000571,Scholarship,2025-09-29,Q3 2025,dropped_out,Diploma,2025/2026,Mount Kenya University,,,,,,,,,,
BEN-000574,Scholarship,2026-06-27,Q2 2026,active,Bachelor,2025/2026,Maseno University,,,,,,,,,,
BEN-000575,Scholarship,2026-04-15,Q2 2026,active,Diploma,2025/2026,Strathmore University,,,,,,,,,,
BEN-000585,Scholarship,2025-02-03,Q1 2025,completed,Bachelor,2024/2025,Mount Kenya University,,,,,,,,,,
BEN-000587,Scholarship,2026-03-27,Q1 2026,dropped_out,Bachelor,2025/2026,Africa Nazarene University,,,,,,,,,,
BEN-000588,Scholarship,2026-02-18,Q1 2026,completed,Bachelor,2025/2026,Maseno University,,,,,,,,,,
BEN-000590,Scholarship,2025-09-29,Q3 2025,dropped_out,Diploma,2025/2026,Kenyatta University,,,,,,,,,,
BEN-000595,Scholarship,2025-06-01,Q2 2025,dropped_out,Bachelor,2024/2025,Jomo Kenyatta University,,,,,,,,,,
BEN-000599,Scholarship,2025-11-17,Q4 2025,active,Bachelor,2025/2026,Mount Kenya University,,,,,,,,,,
BEN-000605,Scholarship,2026-04-04,Q2 2026,active,Diploma,2025/2026,Moi University,,,,,,,,,,
BEN-000606,Scholarship,2026-05-25,Q2 2026,active,Bachelor,2025/2026,Catholic University of Eastern Africa,,,,,,,,,,
BEN-000611,Scholarship,2025-09-29,Q3 2025,completed,Diploma,2025/2026,Catholic University of Eastern Africa,,,,,,,,,,
BEN-000613,Scholarship,2026-09-15,Q3 2026,active,Diploma,2026/2027,Jomo Kenyatta University,,,,,,,,,,
BEN-000614,Scholarship,2026-04-08,Q2 2026,active,Diploma,2025/2026,Kenyatta University,,,,,,,,,,
BEN-000618,Scholarship,2025-07-30,Q3 2025,completed,Master,2024/2025,Mount Kenya University,,,,,,,,,,
BEN-000620,Scholarship,2026-04-23,Q2 2026,active,Master,2025/2026,Kenyatta University,,,,,,,,,,
BEN-000621,Scholarship,2025-06-04,Q2 2025,completed,Diploma,2024/2025,Mount Kenya University,,,,,,,,,,
BEN-000622,Scholarship,2025-10-13,Q4 2025,completed,Bachelor,2025/2026,Jomo Kenyatta University,,,,,,,,,,
BEN-000623,Scholarship,2026-09-12,Q3 2026,active,Diploma,2026/2027,Moi University,,,,,,,,,,
BEN-000624,Scholarship,2025-10-01,Q4 2025,completed,Bachelor,2025/2026,Jomo Kenyatta University,,,,,,,,,,
BEN-000625,Scholarship,2026-07-30,Q3 2026,active,Diploma,2025/2026,Mount Kenya University,,,,,,,,,,
BEN-000628,Scholarship,2025-11-07,Q4 2025,completed,Bachelor,2025/2026,Strathmore University,,,,,,,,,,
BEN-000629,Scholarship,2025-04-14,Q2 2025,completed,Bachelor,2024/2025,Daystar University,,,,,,,,,,
BEN-000631,Scholarship,2026-05-08,Q2 2026,active,Bachelor,2025/2026,University of Nairobi,,,,,,,,,,
BEN-000634,Scholarship,2025-06-03,Q2 2025,completed,Diploma,2024/2025,Daystar University,,,,,,,,,,
BEN-000636,Scholarship,2026-05-11,Q2 2026,active,Bachelor,2025/2026,Strathmore University,,,,,,,,,,
BEN-000638,Scholarship,2026-06-24,Q2 2026,active,Bachelor,2025/2026,University of Nairobi,,,,,,,,,,
BEN-000639,Scholarship,2025-10-14,Q4 2025,completed,Diploma,2025/2026,Kenyatta University,,,,,,,,,,
BEN-000641,Scholarship,2026-02-24,Q1 2026,active,Bachelor,2025/2026,Mount Kenya University,,,,,,,,,,
BEN-000642,Scholarship,2026-08-26,Q3 2026,active,Diploma,2025/2026,Africa Nazarene University,,,,,,,,,,
BEN-000645,Scholarship,2026-01-25,Q1 2026,active,Bachelor,2025/2026,Mount Kenya University,,,,,,,,,,
BEN-000650,Scholarship,2025-12-15,Q4 2025,completed,Diploma,2025/2026,Africa Nazarene University,,,,,,,,,,
BEN-000654,Scholarship,2025-07-21,Q3 2025,completed,Master,2024/2025,Catholic University of Eastern Africa,,,,,,,,,,
BEN-000660,Scholarship,2026-01-01,Q1 2026,active,Bachelor,2025/2026,University of Nairobi,,,,,,,,,,
BEN-000663,Scholarship,2026-01-23,Q1 2026,active,Bachelor,2025/2026,University of Nairobi,,,,,,,,,,
BEN-000664,Scholarship,2026-03-05,Q1 2026,completed,Master,2025/2026,Moi University,,,,,,,,,,
BEN-000670,Scholarship,2025-08-17,Q3 2025,completed,Diploma,2024/2025,Kenyatta University,,,,,,,,,,
BEN-000671,Scholarship,2026-05-04,Q2 2026,active,Bachelor,2025/2026,Moi University,,,,,,,,,,
BEN-000673,Scholarship,2026-07-25,Q3 2026,active,Diploma,2025/2026,Strathmore University,,,,,,,,,,
BEN-000675,Scholarship,2026-08-14,Q3 2026,active,Master,2025/2026,Catholic University of Eastern Africa,,,,,,,,,,
BEN-000677,Scholarship,2026-07-15,Q3 2026,active,Bachelor,2025/2026,Mount Kenya University,,,,,,,,,,
